album_id	name	billboard	artists	popularity	total_tracks	album_type	image_url
2myey2664YObEQ2hs2YJeE	Masterjam	Masterjam	{'1YLsqPcFg1rj7VvhfwnDWm': 'Rufus & Chaka Khan'}	43	9	album	https://i.scdn.co/image/eecf6f5373635653e460125b97edd8fbef47fc6a
1edFA1Aotm5oYaUEVPqVm4	Shriner's Convention (Originally Performed by Ray Stevens) [Karaoke Version]	Shriner's Convention	{'76XE4h4VXk8KbLJallt9Ym': 'Mega Tracks Karaoke Band'}	0	2	single	https://i.scdn.co/image/6f0ef6d226e1b9b722357d50a0d7518ce2707c1e
3aSNgSwGgdbmpqJvpAu2Ed	Three Times In Love	Three Times In Love	{'01hRNr3yF5bYnPq4wZ88iI': 'Tommy James & The Shondells'}	19	8	album	https://i.scdn.co/image/d055dde83128fc6d63be4102fcbdafed0f31f47d
62PbN36OHqQHZjys7VAAwL	One Step Beyond	One Step Beyond	{'4AYkFtEBnNnGuoo8HaHErd': 'Madness'}	51	33	album	https://i.scdn.co/image/f096f4bb366a13105adb3d650569f5dbbd033ed2
7Dr0eWcQrHJouV7tJ7TPEU	Jackrabbit Slim / Alive on Arrival 35th Anniversary Edition	Jackrabbit Slim	{'3oAbjWINfcTSAuVUlXXMty': 'Steve Forbert'}	23	32	album	https://i.scdn.co/image/4a98a861a8600e2674bbbb7467f04f2bd177c8e1
5PCDkwFxNl5dgQO24yPEbn	Willie Nelson Sings Kristofferson	Willie Nelson Sings Kristofferson	{'5W5bDNCqJ1jbCgTxDD0Cb3': 'Willie Nelson'}	39	9	album	https://i.scdn.co/image/c3edff45cfaca87f2e27e6134810c1e15be9d3da
1W5Xv3Dz1K7NSmqF0knQVS	Together	Together	{'3XnO697XIus1M0cMuxZjos': 'The Oak Ridge Boys'}	21	10	album	https://i.scdn.co/image/c1c5ee97415bc88f93e66ff02163ebd08068426f
0KyF5qBEM1LR6Mc0GCP9CQ	What's Next	What's Next	{'6803XTpoywjl9e37yTvwt7': 'Frank Marino & Mahogany Rush'}	18	8	album	https://i.scdn.co/image/0200d49cd4a2d3da96e95d5b6a8d0bcc266b467c
1ioaQ60t933npxH95k2iuE	American Garage	American Garage	{'4uBSazM6snEc9wCG3jMlYt': 'Pat Metheny Group'}	31	5	album	https://i.scdn.co/image/7babe590e44043e0b937ef8f2620b055bf959bae
6J8P3xCsQr5BPoEoukStSk	Make Your Move	Make Your Move	{'7BEfMxbaqx6dOpbtlEqScm': 'Captain & Tennille'}	57	8	album	https://i.scdn.co/image/a260919eade7a397deaa59cdba048b6fa9de6944
6McedcPTihVzYQ7dqLK7PM	You Know How to Love Me (Expanded Edition)	You Know How To Love Me	{'3oqSDVaf6RoBGreqOlgUpv': 'Phyllis Hyman'}	26	16	album	https://i.scdn.co/image/513c2e6bfa63fe076884e989a131c75f91d19841
2AiZFtDyhJRezHIZNUal33	An American Dream	An American Dream	{'7y70dch6JuuuNnwlsOQvwW': 'Nitty Gritty Dirt Band'}	37	10	album	https://i.scdn.co/image/cb3eae5d819f85ec1ef96b3bcc8a5575de51b306
1S6hSxuHEJpLenTqPnLhql	Wet	Wet	{'7jmTilWYlKOuavFfmQAcu6': 'Barbra Streisand'}	27	9	album	https://i.scdn.co/image/7038d31d3b044e61f4d8b0c2c416090fed5925b1
2CpaS6Ea0WYZg9r9yAU49q	Flex	Flex	{'1yFJnlNMiBUBplMaOP5CMX': 'Lene Lovich'}	18	15	album	https://i.scdn.co/image/92c69b5ecb5f23b10afd47bb13963c7c9f5ee617
7MitptqWdwEBbfmVqglc5V	The Story Goes On: On & Off Broadway	On	{'4hcWMDrWJYyU66HA583nCb': 'Liz Callaway'}	33	23	album	https://i.scdn.co/image/dab4b2fef14df4e8b243a832bde6829a0538457d
768bmH7jLJLPjomb6WYPoD	Brass Construction 5	Brass Construction 5	{'5jWuVnPLmjABrgCGianzs9': 'Brass Construction'}	25	7	album	https://i.scdn.co/image/e270663ad9968fdd6eb1715417b93da94f586e0b
3LSgLZrSXELqWt5eqb6XMY	Journey Through The Secret Life Of Plants	Journey Through The Secret Life Of Plants	{'7guDJrEfX3qb6FEbdPA5qi': 'Stevie Wonder'}	42	20	album	https://i.scdn.co/image/ff75acee3cd7bfa3136129048ac7c299997f1a09
1LHq5SCXAmNmF9cD9cnWpH	Don't Let Go (Expanded Edition)	Don't Let Go	{'3IKV7o6WPphDB7cCWXaG3E': 'Isaac Hayes'}	34	11	album	https://i.scdn.co/image/cf87044cb26470653b1fc116b2a177bf606366c0
1qxa6VbQVlc4PHelzTGXFo	Injoy	Injoy	{'0Z4CzYz9ieK8q9XiVMPkW5': 'The Bar-Kays'}	31	8	album	https://i.scdn.co/image/674f5df64ec3a765654d561cdb3e11bf2dfaca11
6TsjAo5OfozNTu8R5VAugT	Supercharged	Supercharged	{'3LfO03nEZMdWNHG2tLpMa0': 'Tavares'}	20	8	album	https://i.scdn.co/image/8d043269b4f2681605962f4134e8345a0bda61ae
1mz7w42DNJMwuGbdPILPFV	Soldier	Soldier	{'33EUXrFKGjpUSGacqEHhU4': 'Iggy Pop'}	26	13	album	https://i.scdn.co/image/0dd3dd8141b0d109c191ad92c4bb9d400f7312b7
3PgLKHkINPRRRA76eT6QJY	Pizzazz	Pizzazz	{'1mNnxxnPfHQDOkFjnZmdkc': 'Patrice Rushen'}	45	8	album	https://i.scdn.co/image/9083c5ea2f1febdac4c94a9ac48e5e890d6fd8c6
78R55grloA83b8FJoKb3Vv	Live And Uncensored/Live And Outrageous	Live And Uncensored	{'27XI002zivG9xuzrZ9dIb1': 'Millie Jackson'}	24	32	album	https://i.scdn.co/image/46436ececd611bb2bb792eacc063b5f64a8f81ab
1S3Vm6Vy3qQyOP3MlpnLyG	Money	The Flying Lizards	{'4FCzCS0KEgb0rgySWINItO': 'CID', '49kB9joPdbpdFRj5tGoTXY': 'Bahary', '2L9iHIK8h5HvZe6VXb0aOI': 'The Flying Lizards'}	50	1	single	https://i.scdn.co/image/863bdd681d3f35654fd364b38088b76b2fcc2f1a
2QqocFdpBkxOBLcIRo6UuJ	Rust Never Sleeps	Rust Never Sleeps	{'6v8FB84lnmJs434UJf2Mrm': 'Neil Young', '0oi7g8NUnlLh5tJvg2y5e3': 'Crazy Horse'}	64	9	album	https://i.scdn.co/image/937a2fd675b488c90f78795b7d4755a276997b12
2yfioluqC2edPkwFlW1J15	I'm The Man	I'm The Man	{'6KOqPxwfNAmZPkiCnDE9yT': 'Joe Jackson'}	46	10	album	https://i.scdn.co/image/e28aba3a08a2d6949d34a3e22b823a297a595dd3
3lNRYIuK5VoKg2UGqQHbeV	No Place to Run (2009 Remaster)	No Place To Run	{'2Omy3P5hFZym7FKum1JA1s': 'UFO'}	25	14	album	https://i.scdn.co/image/18d8ed1b4073c62228db9c12585dfc9d57f3bc2f
3pH8bFVX35RFzHMNvfOdms	One Voice	One Voice	{'3alW3LYQS8K29z8C8NSLIX': 'Barry Manilow'}	36	15	album	https://i.scdn.co/image/0db03e066059c9b0a354ed06b50077983310dc98
0p410lDWCZPVJ0gVvINr4H	I'll Always Love You	I'll Always Love You	{'7d7q5Y1p2QWS4QRAhTQR5E': 'Anne Murray'}	16	10	album	https://i.scdn.co/image/a3b594eddd9eaa31b2d4d7b798ba563069dfbe88
19MVMst4XtFfzLy0z2aKUF	Night In The Ruts	Night In The Ruts	{'7Ey4PD4MYsKc5I2dolUwbH': 'Aerosmith'}	35	9	album	https://i.scdn.co/image/5a33f9e9b6a7198c4686348decb6a6ac6cba653f
7hwgD411x87g2kmuaBmlrh	How Cruel	How Cruel	{'1bdAJUX6JPsnYHbTl5jbk6': 'Joan Armatrading'}	8	4	single	https://i.scdn.co/image/33d9ec5d18cb29e0af7147a50649e514141a2ac2
7HQEnMa6thnm4IxIaR4Jmh	Nuage	Sylvain Sylvain	{'0IfkFoyLbsgahVvNfPnV2y': 'Sylvain Chauveau'}	47	19	album	https://i.scdn.co/image/73743881624fd452a5ac4b6a64aa163b861a431e
6z68dIHR6AkwfE9fWgYED9	Pearl Harbor & The Explosions	Pearl Harbor + The Explosions	{'7uSPfxLxpmlqzEyITHQ5U8': 'Pearl Harbor & The Explosions'}	4	9	album	https://i.scdn.co/image/1b625791395594fa254cedd6453c85ee842eee78
0afYkC4Np6GEqylTuteiML	In the Beginning: A Musical Journey Through Creation	In The Beginning	{'4r05DHrprwEzbIM9SxlmoW': 'Gerbert'}	9	11	album	https://i.scdn.co/image/16269d9da441c6e718f14be598b4d0cb6a5825c7
624bn11sAySR7GN4SScDfs	X-Static (Expanded Edition)	X-static	{'77tT1kLj6mCWtFNqiOmP9H': 'Daryl Hall & John Oates'}	37	12	album	https://i.scdn.co/image/4255415ae3c6fd3055e535262d7d5615fd577209
4GQmfMtt1JhIQLK3L6p5lo	Setting Sons (Super Deluxe)	Setting Sons	{'2P560DaOMNDUACoH8ZhOCR': 'The Jam'}	55	60	album	https://i.scdn.co/image/38e1efa19c81e24170d4238d8ab4208d75a574b8
1R14S4kaq7WEkkRewJyPfd	Identify Yourself	Identify Yourself	{'38h03gA85YYPeDPd9ER9rT': "The O'Jays"}	43	8	album	https://i.scdn.co/image/5080b0eb155a369054c042298093ae6c8144f940
6FQv3uPAJEmlbIkqYC0fSD	Live! Coast To Coast	Teddy Live! Coast To Coast	{'68kACMx6A3D2BYiO056MeQ': 'Teddy Pendergrass'}	21	14	album	https://i.scdn.co/image/f2cce32218b7082d37c5272e95a29b838e22fdef
0axX9QI21cCpvP11bEtJaG	Bad Boy	Bad Boy	{'1coQ4GcxuazfjZ0MP9JnBF': 'Robert Gordon'}	26	11	album	https://i.scdn.co/image/f167dd19fa3fcf0a1391ec889d29741e299d94eb
6H0wsYDvFlATzXHn0IqVpi	Get The Knack	Get The Knack	{'0Nn9YwJzcaeuU1jJL06e3r': 'The Knack'}	69	12	album	https://i.scdn.co/image/8047ce1b046d850c9c4011f11cdd9ff3655e590c
5wsusYpzmAthtzShbx0Zyi	Never Buy Texas From A Cowboy	Never Buy Texas From A Cowboy	{'1UpV4Xw5bG23MNBlhD8rpc': 'Brides Of Funkenstein'}	18	6	album	https://i.scdn.co/image/c0e9e4e3e0b1da525312554e70e862ca22067b85
0mSpCqgLWySeTowPs2A1GP	Greatest Hits	Rod Stewart Greatest Hits	{'0phbPFDobQNvbj8hKlpYUt': 'The Rod Stewart Tribute'}	41	12	compilation	https://i.scdn.co/image/8705f5594d3b810574aa39c6528f76e03c835d6f
0OL8K0z2G0wVrKB8ZJy3ZC	Restless Nights	Restless Nights	{'1ZIMtrSe8sINPurERT4tRa': 'Karla Bonoff'}	22	9	album	https://i.scdn.co/image/7b1621e3024c57b3649d170db6ebc69ca0057e9f
1sU8u99py6xR0RhLY70vMD	Volcano	Volcano	{'28AyklUmMECPwdfo8NEsV0': 'Jimmy Buffett'}	52	10	album	https://i.scdn.co/image/b419917e65a9ac213fcf016ec257fb3501930273
6TLTd0P2CUI0Q29AQ1LyFi	Tom Petty & The Heartbreakers	Tom Petty + The Heartbreakers	{'4tX2TplrkIP4v05BNC903e': 'Tom Petty and the Heartbreakers'}	71	10	album	https://i.scdn.co/image/b2cb6b9eb7916617b24443319704a72d94c6c61d
66sGbldg4VPdY70IcPdxtE	Dream Police	Dream Police	{'1LB8qB5BPb3MHQrfkvifXU': 'Cheap Trick'}	51	9	album	https://i.scdn.co/image/e09c9ee7146c9a3568ba9f9f204aa4fd48ea1ef4
5dVZpNJraoqCo3BssinMoo	Fear Of Music (Deluxe Version)	Fear Of Music	{'2x9SpqnPi8rlE9pjHBwmSC': 'Talking Heads'}	52	15	album	https://i.scdn.co/image/38a61c1fda1a99e89567afc06797be6dc3c59128
0zHX5CKQciDiMewajwcAf4	Relight My Fire (Expanded Edition)	Relight My Fire	{'1HvcqyRLS9nF8hAbTWOqpr': 'Dan Hartman'}	47	12	album	https://i.scdn.co/image/aba1bb4348649e8300b5d06261e5dbccee57b109
5nZcnMmvrTCtzS9XACvKxA	Schemer-Dreamer	Schemer Dreamer	{'4dsZ39liEpqrrqNLzkkCmi': 'Steve Walsh'}	16	7	album	https://i.scdn.co/image/efd3860c5a9a9d99329fe35c50b0042e759d81bc
0i2VaiznHnihFRJq7iHRG0	Needles & Pins	The Searchers	{'4QmkLL9JOqM9dusHS1Hghe': 'The Searchers'}	53	30	album	https://i.scdn.co/image/a71831abda0c364126989fc634f5c0cd58cc7934
2zVCb4GhgcJegyhF6DAmtC	In The Nick Of Time	In The Nick Of Time	{'0NCXrh1XOnHNp4mM0JUFJw': 'Nicolette Larson'}	24	10	album	https://i.scdn.co/image/bebd58f609dabdeb25245dac5c39731de79fa1d0
4lYMrcW0ujfV8FOMjlagxb	Greatest Hits Karaoke: ABBA, Vol. 2	Greatest Hits Vol.2	{'7dYZoYIoFYmSvzDKZxNVO0': 'Cooltone Karaoke'}	0	30	album	https://i.scdn.co/image/1e94d778037ca0dcab6cbfea5e9bb43c9c7aca51
3Dv2luEFpJ4LIpRObqVc6e	Eve (Expanded Edition)	Eve	{'2m62cc253Xvd9qYQ8d2X3d': 'The Alan Parsons Project'}	39	16	album	https://i.scdn.co/image/54fd6713e60ae23084d365affdfd668280041549
6vCT1BZLicHHNWc0McAWb2	First Under The Wire (2010 Remaster)	First Under The Wire	{'6clbbhnIqpHnqxwtOWcilg': 'Little River Band'}	59	10	album	https://i.scdn.co/image/64b144353f7435a4634becdbb9d2e56016e91e8f
45UYlntJvHSPmZBlqC2AQt	Electric Light Orchestra. Elo. Greatest Hits	ELO's Greatest Hits	{'7jefIIksOi1EazgRTfW2Pk': 'Electric Light Orchestra'}	15	12	compilation	https://i.scdn.co/image/901111c5cbeefea50b71b7df8eb0a76f96e19a91
5XRmSuESYUZSa7HauZ71ts	The Fine Art Of Surfacing	The Fine Art Of Surfacing	{'40oYPr305MsT2lsiXr9fX9': 'The Boomtown Rats'}	57	15	album	https://i.scdn.co/image/1249567a8b53801592c1dd3d7b72740067c810a3
3veSKEBvveTdMZk35f6QBs	Do You Wanna Go Party	Do You Wanna Go Party	{'3mQBpAOMWYqAZyxtyeo4Lo': 'KC & The Sunshine Band'}	49	7	album	https://i.scdn.co/image/09d95ef189edfeaeee0e8d9e3d0baf9bf25badc4
1KGJvJwBNbDpMW29QdW7qg	Just A Touch Of Love	Just A Touch Of Love	{'5mtKpqeeaFavW15yIX4h5e': 'Slave'}	41	8	album	https://i.scdn.co/image/c766c14172d2b0d690846ed6e900b4f57d612691
7pSlbtc2IOmvVd279UuUNk	A Taste For Passion	A Taste For Passion	{'3SInttLnvf5G4Aa95aAYPr': 'Jean-Luc Ponty'}	24	10	album	https://i.scdn.co/image/52db42a620b2ba36e8359e81c00a369f34653398
1EmyBYciCjB234yuSv9F7x	Fire It Up	Fire It Up	{'0FrpdcVlJQqibaz5HfBUrL': 'Rick James'}	33	8	album	https://i.scdn.co/image/37734c97aa691c275a45de7b430824434a511eea
4S6y2iTYbGONSlNJHYyrVl	Drums And Wires	Drums And Wires	{'2qT62DYO8Ajb276vUJmvhz': 'XTC'}	57	15	album	https://i.scdn.co/image/3d172170e7083d77b9aeb9bf644767fd1fcda5d5
4KANTN01VytRbGhXWNS0wR	We Don't Talk Anymore (12" Mix)	We Don't Talk Anymore	{'2nvKpWcP8etYTq4JrRiUiy': 'Cliff Richard'}	30	1	single	https://i.scdn.co/image/1d12acc224008cc72e5b245db5fd1bf310e7e5ff
5KFlXseVLgtUSSpvDCACW4	Marathon	Marathon	{'6GI52t8N5F02MxU0g5U69P': 'Santana'}	34	11	album	https://i.scdn.co/image/34ad3b14da99a731fdd4c9bc784d9d8402d24dc8
5lVtnzCHr3IAncUK710Mkv	The Anthology	The Undertones	{'2WRStKp4ihGVUzlzWfv1Qt': 'The Undertones'}	56	56	album	https://i.scdn.co/image/a42d978b23e3e4ac98928571dac19b9a37f94b76
5bw48bjwymGgOvJWH8Er8q	The Biggest Prize In Sport	The Biggest Prize In Sport	{'14IKysoZ0qyGRsIiTk1Ase': '999'}	29	15	album	https://i.scdn.co/image/16ade8f6048dadb6766ed3e6eefeb4eabe0485c7
